MSA File,Status,Number of Mutations,Total_hits
MSA_YP_005224627.1.faa,Mutations found,18,92
MSA_YP_005224384.1.faa,Mutations found,21,100
MSA_YP_005226696.1.faa,Mutations found,7,98
MSA_YP_005228052.1.faa,Mutations found,2,100
MSA_YP_005225889.1.faa,Mutations found,4,100
MSA_YP_005228868.1.faa,Mutations found,17,100
MSA_YP_005229026.1.faa,Mutations found,2,100
MSA_YP_005227467.1.faa,No mutations found,0,100
MSA_YP_005228745.1.faa,Mutations found,1,99
MSA_YP_005229157.1.faa,Mutations found,1,100
MSA_YP_005225250.1.faa,Mutations found,18,93
MSA_YP_005227064.1.faa,Mutations found,13,99
MSA_YP_005224348.1.faa,No mutations found,0,86
MSA_YP_005226254.1.faa,Mutations found,3,99
MSA_YP_005227670.1.faa,Mutations found,16,100
MSA_YP_005227684.1.faa,Mutations found,434,100
MSA_YP_005226653.1.faa,Mutations found,20,100
MSA_YP_005228252.1.faa,Mutations found,19,102
MSA_YP_005224756.1.faa,No mutations found,0,100
MSA_YP_005224519.1.faa,No mutations found,0,100
MSA_YP_005225476.1.faa,Mutations found,243,100
MSA_YP_005226417.1.faa,Mutations found,34,100
MSA_YP_005224743.1.faa,No mutations found,0,100
MSA_YP_005227665.1.faa,Mutations found,5,100
MSA_YP_005227250.1.faa,Mutations found,9,16
MSA_YP_005228906.1.faa,Mutations found,3,100
MSA_YP_005227992.1.faa,Mutations found,2,99
MSA_YP_005224548.1.faa,Mutations found,3,100
MSA_YP_005227753.1.faa,Mutations found,11,99
MSA_YP_005226272.1.faa,Mutations found,14,100
MSA_YP_005225162.1.faa,No mutations found,0,99
MSA_YP_005224608.1.faa,Mutations found,1,100
MSA_YP_005225495.1.faa,Mutations found,1,100
MSA_YP_005225972.1.faa,Mutations found,2,100
MSA_YP_005227968.1.faa,No mutations found,0,43
MSA_YP_005225168.1.faa,Mutations found,3,100
MSA_YP_005227594.1.faa,Mutations found,317,100
MSA_YP_005227468.1.faa,Mutations found,11,98
MSA_YP_005225191.1.faa,Mutations found,208,425
MSA_YP_005226829.1.faa,Mutations found,7,98
MSA_YP_005224457.1.faa,Mutations found,5,100
MSA_YP_005226040.1.faa,Mutations found,1,59
MSA_YP_005224599.1.faa,Mutations found,9,100
MSA_YP_005227997.1.faa,Mutations found,8,100
MSA_YP_005228232.1.faa,Mutations found,1,101
MSA_YP_005229208.1.faa,Mutations found,2,100
MSA_YP_005225710.1.faa,Mutations found,14,97
MSA_YP_005226134.1.faa,Mutations found,28,100
MSA_YP_005224416.1.faa,Mutations found,2,100
MSA_YP_005226691.1.faa,Mutations found,14,100
MSA_YP_005226108.1.faa,Mutations found,1,25
MSA_YP_005225329.1.faa,Mutations found,26,100
MSA_YP_005226565.1.faa,Mutations found,12,79
MSA_YP_005225976.1.faa,Mutations found,3,99
MSA_YP_005227339.1.faa,Mutations found,4,96
MSA_YP_005227399.1.faa,Mutations found,23,98
MSA_YP_005226268.1.faa,Mutations found,1,100
MSA_YP_005225687.1.faa,Mutations found,28,89
MSA_YP_005225418.1.faa,Mutations found,9,100
MSA_YP_005227814.1.faa,Mutations found,58,82
MSA_YP_005225723.1.faa,No mutations found,0,3
MSA_YP_005225184.1.faa,Mutations found,3,100
MSA_YP_005229003.1.faa,Mutations found,6,100
MSA_YP_005227891.1.faa,Mutations found,8,100
MSA_YP_005227115.1.faa,Mutations found,26,71
MSA_YP_005225576.1.faa,Mutations found,11,13
MSA_YP_005229310.1.faa,Mutations found,6,100
MSA_YP_005225869.1.faa,Mutations found,6,100
MSA_YP_005227088.1.faa,Mutations found,95,99
MSA_YP_005227489.1.faa,Mutations found,3,100
MSA_YP_005227388.1.faa,Mutations found,9,100
MSA_YP_005229507.1.faa,Mutations found,1,75
MSA_YP_005226954.1.faa,Mutations found,14,50
MSA_YP_005224827.1.faa,Mutations found,3,7
MSA_YP_005225291.1.faa,Mutations found,11,85
MSA_YP_005225479.1.faa,Mutations found,1,100
MSA_YP_005228945.1.faa,Mutations found,9,98
MSA_YP_005229307.1.faa,Mutations found,4,100
MSA_YP_005228783.1.faa,Mutations found,5,65
MSA_YP_005227544.1.faa,Mutations found,3,100
MSA_YP_005225744.1.faa,Mutations found,3,99
MSA_YP_005225009.1.faa,Mutations found,2,100
MSA_YP_005225001.1.faa,Mutations found,39,100
MSA_YP_005229545.1.faa,Mutations found,28,98
MSA_YP_005229532.1.faa,Mutations found,12,100
MSA_YP_005224841.1.faa,No mutations found,0,13
MSA_YP_005227087.1.faa,Mutations found,17,64
MSA_YP_005227312.1.faa,Mutations found,217,59
MSA_YP_005229187.1.faa,Mutations found,6,100
MSA_YP_005225966.1.faa,Mutations found,2,100
MSA_YP_005224868.1.faa,Mutations found,30,190
MSA_YP_005229484.1.faa,Mutations found,5,99
MSA_YP_005226712.1.faa,Mutations found,19,100
MSA_YP_005226990.1.faa,Mutations found,23,98
MSA_YP_005226069.1.faa,Mutations found,12,100
MSA_YP_005227733.1.faa,Mutations found,44,100
MSA_YP_005228647.1.faa,Mutations found,12,99
MSA_YP_005226303.1.faa,Mutations found,453,100
MSA_YP_005227910.1.faa,Mutations found,10,100
MSA_YP_005228368.1.faa,Mutations found,1,100
MSA_YP_005225426.1.faa,Mutations found,27,99
MSA_YP_005226906.1.faa,Mutations found,51,99
MSA_YP_005227426.1.faa,Mutations found,3,98
MSA_YP_005226440.1.faa,Mutations found,5,100
MSA_YP_005224800.1.faa,Mutations found,10,100
MSA_YP_005228261.1.faa,No mutations found,0,100
MSA_YP_005227395.1.faa,Mutations found,96,99
MSA_YP_005225292.1.faa,No mutations found,0,85
MSA_YP_005227667.1.faa,Mutations found,18,100
MSA_YP_005224676.1.faa,Mutations found,12,100
MSA_YP_005227769.1.faa,Mutations found,34,82
MSA_YP_005224883.1.faa,Mutations found,19,93
MSA_YP_005224687.1.faa,Mutations found,206,93
MSA_YP_005224940.1.faa,Mutations found,19,99
MSA_YP_005224322.1.faa,No mutations found,0,100
MSA_YP_005224982.1.faa,Mutations found,7,100
MSA_YP_005227396.1.faa,Mutations found,30,98
MSA_YP_005226341.1.faa,Mutations found,37,97
MSA_YP_005224485.1.faa,Mutations found,4,100
MSA_YP_005226666.1.faa,Mutations found,31,100
MSA_YP_005226024.1.faa,Mutations found,2,62
MSA_YP_005229514.1.faa,Mutations found,99,100
MSA_YP_005226104.1.faa,Mutations found,2,100
MSA_YP_005227786.1.faa,Mutations found,70,66
MSA_YP_005224631.1.faa,Mutations found,11,100
MSA_YP_005228901.1.faa,Mutations found,1,100
MSA_YP_005228788.1.faa,Mutations found,6,65
MSA_YP_005228769.1.faa,Mutations found,1,100
MSA_YP_005225686.1.faa,Mutations found,5,96
MSA_YP_005228384.1.faa,Mutations found,3,100
MSA_YP_005224769.1.faa,Mutations found,1,100
MSA_YP_005225827.1.faa,Mutations found,13,100
MSA_YP_005225097.1.faa,Mutations found,8,100
MSA_YP_005229260.1.faa,Mutations found,21,100
MSA_YP_005226456.1.faa,Mutations found,5,77
MSA_YP_005228764.1.faa,Mutations found,3,100
MSA_YP_005227813.1.faa,Mutations found,3,100
MSA_YP_005224405.1.faa,Mutations found,1,100
MSA_YP_005228806.1.faa,Mutations found,2,65
MSA_YP_005226389.1.faa,Mutations found,1,60
MSA_YP_005227181.1.faa,Mutations found,35,98
MSA_YP_005226735.1.faa,Mutations found,14,100
MSA_YP_005225925.1.faa,Mutations found,4,100
MSA_YP_005225674.1.faa,Mutations found,9,98
MSA_YP_005226936.1.faa,Mutations found,14,98
MSA_YP_005227638.1.faa,Mutations found,75,98
MSA_YP_005229570.1.faa,Mutations found,16,100
MSA_YP_005229357.1.faa,Mutations found,30,98
MSA_YP_005226206.1.faa,Mutations found,24,98
MSA_YP_005225288.1.faa,Mutations found,6,85
MSA_YP_005224965.1.faa,Mutations found,31,116
MSA_YP_005227377.1.faa,Mutations found,25,99
MSA_YP_005229272.1.faa,Mutations found,1,100
MSA_YP_005229403.1.faa,Mutations found,10,100
MSA_YP_005226049.1.faa,Mutations found,12,62
MSA_YP_005226742.1.faa,Mutations found,30,100
MSA_YP_005226230.1.faa,Mutations found,12,100
MSA_YP_005227952.1.faa,Mutations found,4,98
MSA_YP_005227057.1.faa,Mutations found,11,100
MSA_YP_005226408.1.faa,Mutations found,21,100
MSA_YP_005227435.1.faa,Mutations found,24,100
MSA_YP_005228773.1.faa,Mutations found,5,65
MSA_YP_005224962.1.faa,Mutations found,28,100
MSA_YP_005227272.1.faa,No mutations found,0,100
MSA_YP_005228087.1.faa,Mutations found,24,99
MSA_YP_005226542.1.faa,Mutations found,37,74
MSA_YP_005225068.1.faa,Mutations found,1,14
MSA_YP_005224988.1.faa,Mutations found,7,100
MSA_YP_005228179.1.faa,Mutations found,515,100
MSA_YP_005225781.1.faa,Mutations found,2,98
MSA_YP_005225569.1.faa,No mutations found,0,5
MSA_YP_005228807.1.faa,No mutations found,0,65
MSA_YP_005224996.1.faa,Mutations found,2,100
MSA_YP_005225666.1.faa,Mutations found,3,64
MSA_YP_005229417.1.faa,Mutations found,8,100
MSA_YP_005225578.1.faa,Mutations found,14,13
MSA_YP_005227573.1.faa,Mutations found,68,63
MSA_YP_005228751.1.faa,Mutations found,1,100
MSA_YP_005224928.1.faa,Mutations found,11,100
MSA_YP_005226132.1.faa,Mutations found,9,99
MSA_YP_005227067.1.faa,Mutations found,7,100
MSA_YP_005228089.1.faa,Mutations found,2,100
MSA_YP_005224330.1.faa,Mutations found,1,100
MSA_YP_005227975.1.faa,Mutations found,10,97
MSA_YP_005229420.1.faa,No mutations found,0,100
MSA_YP_005224521.1.faa,Mutations found,5,100
MSA_YP_005226818.1.faa,Mutations found,6,99
MSA_YP_005225833.1.faa,Mutations found,9,100
MSA_YP_005228462.1.faa,Mutations found,21,97
MSA_YP_005226892.1.faa,Mutations found,13,100
MSA_YP_005229615.1.faa,Mutations found,2,100
MSA_YP_005229348.1.faa,Mutations found,22,98
MSA_YP_005225076.1.faa,Mutations found,1,7
MSA_YP_005227397.1.faa,Mutations found,10,100
MSA_YP_005225706.1.faa,Mutations found,8,95
MSA_YP_005225978.1.faa,Mutations found,1,100
MSA_YP_005226588.1.faa,Mutations found,44,61
MSA_YP_005225927.1.faa,Mutations found,10,100
MSA_YP_005227089.1.faa,Mutations found,12,100
MSA_YP_005224910.1.faa,Mutations found,6,100
MSA_YP_005229512.1.faa,Mutations found,10,100
MSA_YP_005225901.1.faa,Mutations found,5,100
MSA_YP_005227620.1.faa,Mutations found,35,100
MSA_YP_005229428.1.faa,Mutations found,156,500
MSA_YP_005225026.1.faa,Mutations found,28,100
MSA_YP_005226322.1.faa,Mutations found,17,99
MSA_YP_005225563.1.faa,Mutations found,56,6
MSA_YP_005229363.1.faa,No mutations found,0,100
MSA_YP_005224504.1.faa,Mutations found,1,100
MSA_YP_005226822.1.faa,Mutations found,10,146
MSA_YP_005228665.1.faa,Mutations found,1,100
MSA_YP_005225482.1.faa,Mutations found,13,95
MSA_YP_005227319.1.faa,Mutations found,72,97
MSA_YP_005228610.1.faa,Mutations found,21,19
MSA_YP_005226415.1.faa,Mutations found,109,100
MSA_YP_005225679.1.faa,Mutations found,8,79
MSA_YP_005227465.1.faa,Mutations found,23,100
MSA_YP_005225431.1.faa,Mutations found,2,100
MSA_YP_005228076.1.faa,Mutations found,2,100
MSA_YP_005227589.1.faa,Mutations found,6,99
MSA_YP_005227166.1.faa,Mutations found,9,100
MSA_YP_005226754.1.faa,Mutations found,26,100
MSA_YP_005224911.1.faa,Mutations found,7,100
MSA_YP_005228803.1.faa,Mutations found,15,57
MSA_YP_005227032.1.faa,Mutations found,176,98
MSA_YP_005225360.1.faa,Mutations found,1,100
MSA_YP_005225763.1.faa,Mutations found,8,100
MSA_YP_005224682.1.faa,Mutations found,60,59
MSA_YP_005225581.1.faa,Mutations found,16,5
MSA_YP_005228272.1.faa,Mutations found,3,99
MSA_YP_005226213.1.faa,Mutations found,18,100
MSA_YP_005228999.1.faa,Mutations found,3,100
MSA_YP_005229500.1.faa,Mutations found,5,91
MSA_YP_005225004.1.faa,Mutations found,3,100
MSA_YP_005227726.1.faa,Mutations found,3,100
MSA_YP_005227460.1.faa,Mutations found,6,100
MSA_YP_005224971.1.faa,Mutations found,18,100
MSA_YP_005229136.1.faa,Mutations found,17,135
MSA_YP_005225897.1.faa,Mutations found,297,98
MSA_YP_005228873.1.faa,Mutations found,1,100
MSA_YP_005228963.1.faa,Mutations found,4,100
MSA_YP_005226927.1.faa,Mutations found,9,96
MSA_YP_005225916.1.faa,Mutations found,772,41
MSA_YP_005227613.1.faa,Mutations found,42,99
MSA_YP_005226157.1.faa,Mutations found,5,99
MSA_YP_005225546.1.faa,Mutations found,14,87
MSA_YP_005229122.1.faa,No mutations found,0,59
MSA_YP_005228088.1.faa,Mutations found,4,100
MSA_YP_005225337.1.faa,Mutations found,2,100
MSA_YP_005227723.1.faa,Mutations found,107,98
MSA_YP_005228649.1.faa,Mutations found,7,98
MSA_YP_005226504.1.faa,Mutations found,32,100
MSA_YP_005225963.1.faa,Mutations found,1,100
MSA_YP_005226349.1.faa,Mutations found,1,98
MSA_YP_005228944.1.faa,Mutations found,12,97
MSA_YP_005226166.1.faa,Mutations found,2,100
MSA_YP_005228114.1.faa,Mutations found,2,100
MSA_YP_005228486.1.faa,Mutations found,2,100
MSA_YP_005225986.1.faa,Mutations found,24,100
MSA_YP_005229361.1.faa,Mutations found,12,98
MSA_YP_005224901.1.faa,Mutations found,10,98
MSA_YP_005224557.1.faa,Mutations found,3,100
MSA_YP_005228832.1.faa,No mutations found,0,2
MSA_YP_005224999.1.faa,Mutations found,98,97
MSA_YP_005224613.1.faa,Mutations found,145,100
MSA_YP_005225814.1.faa,Mutations found,6,100
MSA_YP_005227507.1.faa,Mutations found,1,100
MSA_YP_005227167.1.faa,Mutations found,19,100
MSA_YP_005225041.1.faa,Mutations found,53,101
MSA_YP_005226595.1.faa,Mutations found,10,74
MSA_YP_005225803.1.faa,Mutations found,25,99
MSA_YP_005226695.1.faa,Mutations found,8,100
MSA_YP_005224559.1.faa,Mutations found,2,100
MSA_YP_005226041.1.faa,Mutations found,14,59
MSA_YP_005228802.1.faa,Mutations found,12,65
MSA_YP_005224360.1.faa,Mutations found,9,100
MSA_YP_005227105.1.faa,Mutations found,4,97
MSA_YP_005228820.1.faa,Mutations found,1,52
MSA_YP_005226068.1.faa,Mutations found,3,99
MSA_YP_005227164.1.faa,Mutations found,3,78
MSA_YP_005227645.1.faa,Mutations found,37,99
MSA_YP_005225106.1.faa,Mutations found,6,100
MSA_YP_005224747.1.faa,Mutations found,7,99
MSA_YP_005226202.1.faa,Mutations found,32,96
MSA_YP_005225713.1.faa,Mutations found,20,97
MSA_YP_005228614.1.faa,Mutations found,8,99
MSA_YP_005228547.1.faa,Mutations found,9,100
MSA_YP_005226571.1.faa,Mutations found,8,77
MSA_YP_005227593.1.faa,Mutations found,133,100
MSA_YP_005224873.1.faa,Mutations found,18,99
MSA_YP_005226673.1.faa,Mutations found,11,100
MSA_YP_005224951.1.faa,Mutations found,1,59
MSA_YP_005226997.1.faa,Mutations found,33,98
MSA_YP_005225542.1.faa,Mutations found,25,58
MSA_YP_005229245.1.faa,Mutations found,37,74
MSA_YP_005225307.1.faa,No mutations found,0,3
MSA_YP_005229464.1.faa,Mutations found,3,100
MSA_YP_005225907.1.faa,Mutations found,41,100
MSA_YP_005229355.1.faa,Mutations found,3,98
MSA_YP_005224426.1.faa,Mutations found,3,100
MSA_YP_005226976.1.faa,Mutations found,3,83
MSA_YP_005226628.1.faa,Mutations found,23,97
MSA_YP_005225497.1.faa,Mutations found,248,99
MSA_YP_005225864.1.faa,Mutations found,44,100
MSA_YP_005228969.1.faa,Mutations found,10,7
MSA_YP_005229612.1.faa,No mutations found,0,100
MSA_YP_005226793.1.faa,Mutations found,1,100
MSA_YP_005229391.1.faa,Mutations found,1,98
MSA_YP_005226117.1.faa,Mutations found,17,100
MSA_YP_005228595.1.faa,Mutations found,4,99
MSA_YP_005226377.1.faa,No mutations found,0,99
MSA_YP_005229606.1.faa,Mutations found,2,100
MSA_YP_005224791.1.faa,Mutations found,4,99
MSA_YP_005225682.1.faa,Mutations found,1,80
MSA_YP_005226786.1.faa,Mutations found,35,100
MSA_YP_005226315.1.faa,Mutations found,9,100
MSA_YP_005226945.1.faa,Mutations found,29,86
MSA_YP_005226870.1.faa,Mutations found,19,100
MSA_YP_005228943.1.faa,Mutations found,20,100
MSA_YP_005225429.1.faa,Mutations found,1,99
MSA_YP_005225300.1.faa,Mutations found,218,57
MSA_YP_005229098.1.faa,No mutations found,0,100
MSA_YP_005226600.1.faa,Mutations found,8,100
MSA_YP_005227886.1.faa,Mutations found,21,100
MSA_YP_005226900.1.faa,Mutations found,7,100
MSA_YP_005226692.1.faa,Mutations found,294,99
MSA_YP_005228459.1.faa,Mutations found,8,100
MSA_YP_005229121.1.faa,No mutations found,0,59
MSA_YP_005227601.1.faa,Mutations found,91,100
MSA_YP_005226573.1.faa,Mutations found,45,69
MSA_YP_005227418.1.faa,No mutations found,0,100
MSA_YP_005229087.1.faa,Mutations found,5,100
MSA_YP_005228628.1.faa,Mutations found,3,80
MSA_YP_005227918.1.faa,No mutations found,0,100
MSA_YP_005229590.1.faa,Mutations found,5,100
MSA_YP_005228912.1.faa,Mutations found,16,99
MSA_YP_005228242.1.faa,Mutations found,7,102
MSA_YP_005226980.1.faa,Mutations found,6,83
MSA_YP_005228644.1.faa,Mutations found,2,100
MSA_YP_005228299.1.faa,No mutations found,0,4
MSA_YP_005226933.1.faa,Mutations found,339,98
MSA_YP_005224869.1.faa,Mutations found,38,100
MSA_YP_005226703.1.faa,Mutations found,5,80
MSA_YP_005228092.1.faa,Mutations found,22,98
MSA_YP_005227784.1.faa,Mutations found,51,82
MSA_YP_005225167.1.faa,Mutations found,2,100
MSA_YP_005228387.1.faa,Mutations found,11,100
MSA_YP_005229149.1.faa,No mutations found,0,100
MSA_YP_005225552.1.faa,No mutations found,0,8
MSA_YP_005227816.1.faa,Mutations found,35,99
MSA_YP_005229155.1.faa,No mutations found,0,100
MSA_YP_005227598.1.faa,Mutations found,444,99
MSA_YP_005228678.1.faa,Mutations found,11,100
MSA_YP_005226221.1.faa,Mutations found,47,100
MSA_YP_005227432.1.faa,Mutations found,7,89
MSA_YP_005227506.1.faa,No mutations found,0,100
MSA_YP_005225895.1.faa,Mutations found,3,99
MSA_YP_005228033.1.faa,Mutations found,1,100
MSA_YP_005228206.1.faa,Mutations found,18,99
MSA_YP_005227439.1.faa,Mutations found,12,99
MSA_YP_005228732.1.faa,Mutations found,2,82
MSA_YP_005228705.1.faa,No mutations found,0,100
MSA_YP_005227218.1.faa,Mutations found,10,100
MSA_YP_005226765.1.faa,Mutations found,38,99
MSA_YP_005226264.1.faa,Mutations found,3,100
MSA_YP_005227963.1.faa,Mutations found,5,99
MSA_YP_005225729.1.faa,Mutations found,2,81
MSA_YP_005229219.1.faa,Mutations found,2,102
MSA_YP_005228760.1.faa,Mutations found,3,100
MSA_YP_005225798.1.faa,Mutations found,2,100
MSA_YP_005226424.1.faa,Mutations found,27,100
MSA_YP_005229025.1.faa,Mutations found,2,100
MSA_YP_005226056.1.faa,No mutations found,0,100
MSA_YP_005225381.1.faa,Mutations found,6,100
MSA_YP_005226019.1.faa,Mutations found,39,62
MSA_YP_005227898.1.faa,Mutations found,13,96
MSA_YP_005229568.1.faa,Mutations found,4,56
MSA_YP_005226672.1.faa,Mutations found,16,100
MSA_YP_005229531.1.faa,Mutations found,8,100
MSA_YP_005228044.1.faa,No mutations found,0,100
MSA_YP_005225562.1.faa,Mutations found,22,9
MSA_YP_005224648.1.faa,Mutations found,11,100
MSA_YP_005227371.1.faa,Mutations found,340,99
MSA_YP_005228856.1.faa,No mutations found,0,100
MSA_YP_005229195.1.faa,Mutations found,9,99
MSA_YP_005226034.1.faa,No mutations found,0,3
MSA_YP_005228143.1.faa,Mutations found,5,1
MSA_YP_005229248.1.faa,Mutations found,3,100
MSA_YP_005227475.1.faa,Mutations found,5,100
MSA_YP_005229283.1.faa,Mutations found,2,100
MSA_YP_005224980.1.faa,Mutations found,6,100
MSA_YP_005224413.1.faa,Mutations found,2,4
MSA_YP_005226447.1.faa,Mutations found,38,100
MSA_YP_005226597.1.faa,Mutations found,67,102
MSA_YP_005229598.1.faa,Mutations found,1,100
MSA_YP_005225190.1.faa,Mutations found,96,98
MSA_YP_005228488.1.faa,Mutations found,5,100
MSA_YP_005225443.1.faa,Mutations found,50,100
MSA_YP_005225039.1.faa,Mutations found,31,78
MSA_YP_005228212.1.faa,Mutations found,22,101
MSA_YP_005229210.1.faa,Mutations found,2,99
MSA_YP_005228184.1.faa,Mutations found,1,100
MSA_YP_005227411.1.faa,Mutations found,15,100
MSA_YP_005229078.1.faa,Mutations found,51,100
MSA_YP_005225238.1.faa,Mutations found,2,100
MSA_YP_005224690.1.faa,Mutations found,24,93
MSA_YP_005227896.1.faa,Mutations found,9,98
MSA_YP_005224520.1.faa,Mutations found,3,99
MSA_YP_005226788.1.faa,Mutations found,10,100
MSA_YP_005226133.1.faa,Mutations found,25,98
MSA_YP_005224588.1.faa,Mutations found,16,98
MSA_YP_005224465.1.faa,Mutations found,17,100
MSA_YP_005228431.1.faa,Mutations found,6,99
MSA_YP_005227955.1.faa,Mutations found,5,100
MSA_YP_005224900.1.faa,Mutations found,6,87
MSA_YP_005227889.1.faa,Mutations found,14,100
MSA_YP_005226893.1.faa,Mutations found,28,97
MSA_YP_005227835.1.faa,Mutations found,3,100
MSA_YP_005228332.1.faa,Mutations found,27,14
MSA_YP_005228192.1.faa,Mutations found,10,94
MSA_YP_005228534.1.faa,Mutations found,16,100
MSA_YP_005224459.1.faa,Mutations found,2,100
MSA_YP_005224963.1.faa,Mutations found,9,99
MSA_YP_005227271.1.faa,Mutations found,3,100
MSA_YP_005226515.1.faa,Mutations found,36,99
MSA_YP_005227463.1.faa,Mutations found,13,94
MSA_YP_005224576.1.faa,No mutations found,0,100
MSA_YP_005227341.1.faa,Mutations found,1,96
MSA_YP_005224505.1.faa,Mutations found,15,100
MSA_YP_005225598.1.faa,Mutations found,6,86
MSA_YP_005229156.1.faa,No mutations found,0,100
MSA_YP_005225145.1.faa,Mutations found,106,99
MSA_YP_005225244.1.faa,Mutations found,2,100
MSA_YP_005225062.1.faa,Mutations found,3,100
MSA_YP_005225169.1.faa,Mutations found,9,100
MSA_YP_005226522.1.faa,No mutations found,0,81
MSA_YP_005229462.1.faa,No mutations found,0,100
MSA_YP_005226106.1.faa,Mutations found,31,191
MSA_YP_005228933.1.faa,Mutations found,4,100
MSA_YP_005228456.1.faa,Mutations found,6,100
MSA_YP_005227007.1.faa,Mutations found,21,100
MSA_YP_005228016.1.faa,Mutations found,6,99
MSA_YP_005225380.1.faa,Mutations found,30,100
MSA_YP_005224614.1.faa,Mutations found,28,100
MSA_YP_005225216.1.faa,Mutations found,5,100
MSA_YP_005229599.1.faa,Mutations found,28,100
MSA_YP_005229344.1.faa,No mutations found,0,100
MSA_YP_005224782.1.faa,Mutations found,4,100
MSA_YP_005226694.1.faa,Mutations found,15,79
MSA_YP_005228666.1.faa,Mutations found,7,100
MSA_YP_005224696.1.faa,Mutations found,6,100
MSA_YP_005224452.1.faa,Mutations found,7,100
MSA_YP_005227277.1.faa,Mutations found,3,99
MSA_YP_005228110.1.faa,Mutations found,2,100
MSA_YP_005225777.1.faa,Mutations found,50,99
MSA_YP_005228684.1.faa,Mutations found,24,15
MSA_YP_005225946.1.faa,Mutations found,19,101
MSA_YP_005224545.1.faa,Mutations found,4,100
MSA_YP_005229490.1.faa,Mutations found,36,96
MSA_YP_005225154.1.faa,Mutations found,526,27
MSA_YP_005228390.1.faa,Mutations found,3,100
MSA_YP_005227655.1.faa,Mutations found,1,21
MSA_YP_005225186.1.faa,Mutations found,5,100
MSA_YP_005228138.1.faa,Mutations found,4,100
MSA_YP_005226128.1.faa,Mutations found,4,98
MSA_YP_005227764.1.faa,Mutations found,45,83
MSA_YP_005228095.1.faa,Mutations found,270,98
MSA_YP_005224618.1.faa,Mutations found,6,100
MSA_YP_005228540.1.faa,Mutations found,33,100
MSA_YP_005227842.1.faa,Mutations found,5,100
MSA_YP_005226304.1.faa,Mutations found,141,100
MSA_YP_005227848.1.faa,Mutations found,172,64
MSA_YP_005224503.1.faa,Mutations found,8,100
MSA_YP_005227216.1.faa,Mutations found,6,99
MSA_YP_005229048.1.faa,Mutations found,1,100
MSA_YP_005224692.1.faa,Mutations found,1,100
MSA_YP_005228191.1.faa,Mutations found,8,97
MSA_YP_005226861.1.faa,Mutations found,2,96
MSA_YP_005226485.1.faa,Mutations found,22,99
MSA_YP_005229611.1.faa,No mutations found,0,100
MSA_YP_005227653.1.faa,Mutations found,7,100
MSA_YP_005225969.1.faa,Mutations found,9,100
MSA_YP_005228205.1.faa,Mutations found,52,99
MSA_YP_005228536.1.faa,Mutations found,5,100
MSA_YP_005229326.1.faa,Mutations found,7,100
MSA_YP_005225269.1.faa,Mutations found,5,100
MSA_YP_005224753.1.faa,Mutations found,22,100
MSA_YP_005226564.1.faa,Mutations found,7,79
MSA_YP_005228650.1.faa,No mutations found,0,98
MSA_YP_005228898.1.faa,Mutations found,73,73
MSA_YP_005224565.1.faa,Mutations found,2,100
MSA_YP_005228083.1.faa,Mutations found,25,100
MSA_YP_005225394.1.faa,Mutations found,7,100
MSA_YP_005226731.1.faa,No mutations found,0,7
MSA_YP_005224380.1.faa,Mutations found,54,100
MSA_YP_005227562.1.faa,Mutations found,348,110
MSA_YP_005229106.1.faa,No mutations found,0,49
MSA_YP_005228146.1.faa,Mutations found,2,100
MSA_YP_005227484.1.faa,Mutations found,1,100
MSA_YP_005227193.1.faa,Mutations found,12,99
MSA_YP_005226622.1.faa,Mutations found,12,100
MSA_YP_005224947.1.faa,Mutations found,12,100
MSA_YP_005225276.1.faa,Mutations found,1,100
MSA_YP_005229321.1.faa,Mutations found,6,100
MSA_YP_005225574.1.faa,Mutations found,7,13
MSA_YP_005225736.1.faa,Mutations found,12,74
MSA_YP_005229270.1.faa,Mutations found,1,100
MSA_YP_005227954.1.faa,Mutations found,2,100
MSA_YP_005227106.1.faa,No mutations found,0,97
MSA_YP_005227612.1.faa,Mutations found,6,100
MSA_YP_005229194.1.faa,No mutations found,0,100
MSA_YP_005228000.1.faa,Mutations found,5,100
MSA_YP_005225635.1.faa,No mutations found,0,7
MSA_YP_005226436.1.faa,Mutations found,12,98
MSA_YP_005224819.1.faa,No mutations found,0,100
MSA_YP_005224606.1.faa,Mutations found,3,100
MSA_YP_005224773.1.faa,Mutations found,2,53
MSA_YP_005227689.1.faa,Mutations found,14,98
MSA_YP_005228236.1.faa,Mutations found,3,101
MSA_YP_005225539.1.faa,Mutations found,69,9
MSA_YP_005224766.1.faa,Mutations found,3,100
MSA_YP_005225156.1.faa,Mutations found,4,100
MSA_YP_005226750.1.faa,Mutations found,7,100
MSA_YP_005225900.1.faa,No mutations found,0,100
MSA_YP_005226766.1.faa,Mutations found,20,100
MSA_YP_005224731.1.faa,Mutations found,2,98
MSA_YP_005224513.1.faa,Mutations found,9,100
MSA_YP_005224342.1.faa,Mutations found,10,99
MSA_YP_005226155.1.faa,Mutations found,1,100
MSA_YP_005225959.1.faa,Mutations found,72,99
MSA_YP_005228703.1.faa,Mutations found,4,100
MSA_YP_005225855.1.faa,Mutations found,6,100
MSA_YP_005229492.1.faa,Mutations found,12,98
MSA_YP_005226605.1.faa,Mutations found,4,71
MSA_YP_005228961.1.faa,Mutations found,16,100
MSA_YP_005228599.1.faa,Mutations found,4,97
MSA_YP_005226880.1.faa,Mutations found,13,99
